Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
Aigaion,Yes,Yes,Yes,Yes,BMJ  IEEE,OSBIB
Bebop,No,No,No,No,none,none
BibBase,Yes,No,No,No,none,none
BibDesk,Yes,yes,No,No,various,BibDesk export templates
Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[citation needed],Biblioscape format (through GUI)
BibSonomy,Yes,No,Yes,No,none,none
Bibus,Yes,No,No,No,56 styles  user-contributed,bibus format (through GUI)
Bookends,Yes,Yes,Yes,Yes,various[citation needed],?
Citavi,Yes,Yes,Yes,Yes,9300+ styles. Styles can be requested and are centrally corrected; any BibTeX style when used with LaTeX.,Citavi format (through GUI)  includes conditions and programmable components; BibTeX
CiteULike,Yes,Yes,Yes,Yes,various[citation needed],none
colwiz,Yes,Yes,Yes,Yes,9135 styles,CSL
EndNote,Yes,Yes,Yes,Yes,6892 styles,EndNote format (through GUI)
F1000Workspace,Yes,Yes,Yes,Yes,9135 styles,CSL
JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
Mendeley,Yes,Yes,Yes,Yes,9135 styles,CSL
Paperpile,Yes,Yes,Yes,Yes,9135 styles,CSL
Papers,Yes,Yes,Yes,Yes,9135 styles,CSL
Pybliographer,Yes,No,No,No,none,Pybliographer XML
Qiqqa,Yes,Yes,Yes,Yes,9100+ styles,BibTeX and CSL
ReadCube,Yes,Yes,Yes,Yes,9100+ styles,BibTeX and CSL
refbase,Yes,Yes,Yes,Yes,various polar & marine journals,PHP
RefDB,Yes,Yes,Yes,Yes,21 biomedical & law journals,XML (citestylex.dtd)  interactive script
Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
Referencer,?,?,?,?,?,?
RefWorks,Yes,Yes,Yes,Yes,13000,RefWorks format (through GUI)
SciRef,Yes,Yes,Yes,Yes,various,SciRef format (through GUI)
Sente,Yes,Yes,Yes,Yes,various,Sente format (through GUI)
Wikindx,Yes,Yes,Yes,Yes,BMJ  IEEE  Built-in style editor to create your own,OSBIB
WizFolio,Yes,Yes,Yes,Yes,1000+ styles,WizFolio format (through GUI)
Zotero,Yes,Yes,Yes,Yes,9135 styles,CSL
