Software,Creator,Edition,Release Date,Cost (USD),Open source,Software license,Implementation
AdroitLogic UltraESB,AdroitLogic,17.01,January 2017,Subscription based licensing and support or perpetual licensing,,,Enterprise Service Bus
Anypoint Platform,MuleSoft,Mule 3.7,June 2015,Sold as software as a subscription with various packaged options to serve different use cases. The pricing scales with usage as measured by number of cores on-premises and virtual cores in the cloud.,,Dual (CPAL or proprietary,
Apache Camel,Apache Software Foundation,2.23.3,November 29  2018,Free/Commercial support available,,
Apache Kafka,Apache Software Foundation,0.10.20,February 2017,Free / Commercial support available,,
Apache ServiceMix,Apache Software Foundation,7.0,January 2017,Free / Commercial support available,,
Apache Synapse,Apache Software Foundation,3.0,December 2016,Free / Commercial support available,,
Artix ESB,Progress Software,5.x,2003,,,
Automation Anywhere Integration Pack,Automation Anywhere,6.1,Feb 2011,$5500,,
BizTalk Server,Microsoft,2016,December 2016,Enterprise Edition: $10.835 per core; Standard Edition: $2.485 per core; Branch Edition: $620 per core (minimum 4 cores required); Developer Edition - per seat  available under Volume or MSDN licence.<ref>See http://www.microsoft.com/en-us/server-cloud/products/biztalk/default.aspx for complete information.</ref>,,,Enterprise Application Integration  Hub and Spoke architecture  Cloud ready
Flow Software,Flow Software Ltd,2.3.0,May  2010,Free Community Edition  and Enterprise licenses,,
Fuse - Enterprise Camel,Red Hat,7.0,2018,,,
IBM Integration Bus (formerly WebSphere Message Broker ),IBM,10.0,March 2015<ref>IBM Integration Bus V10.0 Announcement Letter see here http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?infotype=AN&subtype=CA&htmlfid=897/ENUS215-070&appname=USN&ce=ISM0056&ct=swg&cmp=ibmsocial&cm=h&cr=crossbrand&ccy=us.</ref>,Varies between approximately 100 and 850 per Value Unit<ref name="IBM-value-units">For detail about IBM's Processor Value Units see here http://www-01.ibm.com/software/passportadvantage/pvu_licensing_for_customers.html</ref>,,,Enterprise Service Bus
Informatica Power Center,Informatica,8.5,October 2007,Varies: 50.000 - 100.000 generally,,
JBoss Enterprise Service Bus (ESB),JBoss  a division of Red Hat  Inc.,4.12,March 2013,Free / Commercial support available,,,Enterprise Service Bus  Replaced by JBoss Fuse
JBoss Enterprise SOA Platform,JBoss  a division of Red Hat  Inc.,5.1,February 2011,Free / Commercial support available,,,Replaced by JBoss Fuse
Magic xpi Integration Platform,Magic Software Enterprises,4.0,May 2015,,,
Openadaptor,The Software Conservancy,3.4.6,February 2011,Free,,
OpenESB,OpenESB Community,3.0.5,June 2015,Free / Commercial support available through partners<ref></ref>,,
OpenLink Virtuoso,OpenLink Software,7.2.4,2016-04-24,Varies<ref>OpenLink Virtuoso Universal Server Pricing</ref>,,Dual (GPL or proprietary)
Oracle BPEL Process Manager<ref name="Oracle SOA">Part of Oracle SOA Suite</ref>,Oracle Corporation,12.1.3.0.0,June 2014,Varies<ref>https://shop.oracle.com/pls/ostore/f?p=dstore:product:2587808880684::NO:RP 6:P6_LPI P6_PROD_HIER_ID:4509693291561805719977.4510005237031805720017 Licenses available per named user or per processor  as perpetual or as term-based.</ref>,,
Oracle Enterprise Service Bus<ref name="Oracle SOA"/>,Oracle Corporation,12.1.3.0.0,June 2014,Varies<ref>https://shop.oracle.com/pls/ostore/f?p=dstore:product:2587808880684::NO:RP 6:P6_LPI P6_PROD_HIER_ID:4509615114341805719968.4510005237031805720017 Licenses available per named user or per processor  as perpetual or as term-based.</ref>,,
PEtALS ESB,OW2 Consortium,3.1.3,July 2011,Free / Commercial support available,,
Sonic ESB,Progress Software,8.x,2011,,,,Enterprise Service Bus
SAP NetWeaver Process Integration (short SAP PI),SAP AG,7.5,2011,Varies<ref name="CPU-based pricing">CPU-based pricing</ref>,,
ServiceMix,Apache Software Foundation,5.1.1,July 2014,free/commercial support available,,
Spagic,Engineering group,3.0,May 2010,free / Commercial support,,
Sun Java Composite Application Platform Suite,Sun Microsystems,6,June 2008,$100 per employee per year subscription  perpetual per socket licensing available<ref>See http://www.sun.com/software/javaenterprisesystem/compare.xml for detailed pricing.</ref>,<ref>Components from the Open ESB open-source community are productized in Java CAPS.</ref>,
TrackerSuite.Net,Automation Centre,4.0,June 2012,Based on number of users and modules utilized. Available as SaaS  or as a licensed installation.,,
Unify NXJ,Unify Corporation,11,,,,
webMethods Integration Server,Software AG,9.0<ref>https://www.softwareag.com/corporate/products/wm/integration/default.asp Software AG's Integration Platform</ref>,May 2013,varies,,,Enterprise Service Bus<ref>https://www.softwareag.com/corporate/products/wm/integration/default.asp</ref>
WebSphere Message Broker (now known as IBM Integration Bus),IBM,8.0,October 2011,No longer marketed under this name - replacement name is IBM Integration Bus,,,Enterprise Service Bus
WSO2 Enterprise Service Bus (ESB),WSO2,5.0.0,2016,Free / Commercial support available,,
